URL Base,utm_source,utm_medium,utm_campaign,utm_content,utm_term,URL Final Completa,Canal,Notas
https://bitafly.com,google,cpc,lanzamiento-2026,anuncio-drones-colombia,software drones colombia,"https://bitafly.com?utm_source=google&utm_medium=cpc&utm_campaign=lanzamiento-2026&utm_content=anuncio-drones-colombia&utm_term=software+drones+colombia",Google Ads — Búsqueda,Campaña principal de lanzamiento
https://bitafly.com,google,cpc,lanzamiento-2026,anuncio-rac100,rac 100 colombia,"https://bitafly.com?utm_source=google&utm_medium=cpc&utm_campaign=lanzamiento-2026&utm_content=anuncio-rac100&utm_term=rac+100+colombia",Google Ads — Búsqueda,Keyword normativa RAC 100
https://bitafly.com,google,cpc,lanzamiento-2026,anuncio-aerocivil,aerocivil drones,"https://bitafly.com?utm_source=google&utm_medium=cpc&utm_campaign=lanzamiento-2026&utm_content=anuncio-aerocivil&utm_term=aerocivil+drones",Google Ads — Búsqueda,Keyword trámites AeroCivil
https://bitafly.com,google,cpc,retargeting-2026,banner-dashboard,,,"https://bitafly.com?utm_source=google&utm_medium=cpc&utm_campaign=retargeting-2026&utm_content=banner-dashboard",Google Ads — Display,Retargeting visitantes del sitio
https://bitafly.com/registro,google,cpc,registro-2026,boton-registro-hero,,"https://bitafly.com/registro?utm_source=google&utm_medium=cpc&utm_campaign=registro-2026&utm_content=boton-registro-hero",Google Ads — Búsqueda,Directo a registro
https://bitafly.com,instagram,social,lanzamiento-2026,post-feed-drones,,"https://bitafly.com?utm_source=instagram&utm_medium=social&utm_campaign=lanzamiento-2026&utm_content=post-feed-drones",Instagram — Feed orgánico,Publicación orgánica feed
https://bitafly.com,instagram,social,lanzamiento-2026,story-swipeup,,"https://bitafly.com?utm_source=instagram&utm_medium=social&utm_campaign=lanzamiento-2026&utm_content=story-swipeup",Instagram — Stories orgánicas,Historia con enlace
https://bitafly.com,instagram,paid-social,lanzamiento-2026,ad-carrusel-features,,"https://bitafly.com?utm_source=instagram&utm_medium=paid-social&utm_campaign=lanzamiento-2026&utm_content=ad-carrusel-features",Instagram Ads — Carrusel,Anuncio carrusel características
https://bitafly.com,instagram,paid-social,lanzamiento-2026,ad-video-demo,,"https://bitafly.com?utm_source=instagram&utm_medium=paid-social&utm_campaign=lanzamiento-2026&utm_content=ad-video-demo",Instagram Ads — Video,Video demo plataforma
https://bitafly.com,facebook,social,lanzamiento-2026,post-grupos-drones,,"https://bitafly.com?utm_source=facebook&utm_medium=social&utm_campaign=lanzamiento-2026&utm_content=post-grupos-drones",Facebook — Grupos,Post en grupos de operadores UAS
https://bitafly.com,facebook,paid-social,lanzamiento-2026,ad-lead-gen,,"https://bitafly.com?utm_source=facebook&utm_medium=paid-social&utm_campaign=lanzamiento-2026&utm_content=ad-lead-gen",Facebook Ads — Lead Gen,Formulario de leads de Meta
https://bitafly.com,linkedin,social,lanzamiento-2026,post-empresa,,"https://bitafly.com?utm_source=linkedin&utm_medium=social&utm_campaign=lanzamiento-2026&utm_content=post-empresa",LinkedIn — Orgánico,Publicación empresa Bitafly
https://bitafly.com,linkedin,paid-social,lanzamiento-2026,ad-sponsored-content,,"https://bitafly.com?utm_source=linkedin&utm_medium=paid-social&utm_campaign=lanzamiento-2026&utm_content=ad-sponsored-content",LinkedIn Ads — Contenido,Sponsored Content a gerentes de ops
https://bitafly.com,tiktok,social,lanzamiento-2026,video-tutorial-rac100,,"https://bitafly.com?utm_source=tiktok&utm_medium=social&utm_campaign=lanzamiento-2026&utm_content=video-tutorial-rac100",TikTok — Orgánico,Tutorial RAC 100 en TikTok
https://bitafly.com,whatsapp,referral,lanzamiento-2026,compartir-comunidad,,"https://bitafly.com?utm_source=whatsapp&utm_medium=referral&utm_campaign=lanzamiento-2026&utm_content=compartir-comunidad",WhatsApp — Grupos,Enlace compartido en grupos de pilotos
https://bitafly.com,email,newsletter,bienvenida-2026,cta-probar-gratis,,"https://bitafly.com?utm_source=email&utm_medium=newsletter&utm_campaign=bienvenida-2026&utm_content=cta-probar-gratis",Email — Newsletter,CTA principal email bienvenida
https://bitafly.com,email,newsletter,nurturing-rac100,cta-blog-rac100,,"https://bitafly.com?utm_source=email&utm_medium=newsletter&utm_campaign=nurturing-rac100&utm_content=cta-blog-rac100",Email — Nurturing,Email educativo sobre RAC 100
https://bitafly.com/registro,email,newsletter,conversion-2026,boton-registro-email,,"https://bitafly.com/registro?utm_source=email&utm_medium=newsletter&utm_campaign=conversion-2026&utm_content=boton-registro-email",Email — Conversión,Directo a registro desde email
https://bitafly.com,email,outreach,prospectos-empresas,cta-contactar-ventas,,"https://bitafly.com?utm_source=email&utm_medium=outreach&utm_campaign=prospectos-empresas&utm_content=cta-contactar-ventas",Email — Outreach B2B,Correo frío a empresas operadoras UAS
https://bitafly.com,youtube,video,lanzamiento-2026,descripcion-canal,,"https://bitafly.com?utm_source=youtube&utm_medium=video&utm_campaign=lanzamiento-2026&utm_content=descripcion-canal",YouTube — Orgánico,Enlace en descripción de videos
https://bitafly.com,youtube,paid-video,lanzamiento-2026,ad-pre-roll,,"https://bitafly.com?utm_source=youtube&utm_medium=paid-video&utm_campaign=lanzamiento-2026&utm_content=ad-pre-roll",YouTube Ads — Pre-roll,Anuncio pre-roll en canales de aviación
https://bitafly.com,qr,print,lanzamiento-2026,tarjeta-presentacion,,"https://bitafly.com?utm_source=qr&utm_medium=print&utm_campaign=lanzamiento-2026&utm_content=tarjeta-presentacion",QR — Tarjeta de presentación,QR en material impreso / tarjetas
https://bitafly.com,qr,event,expodrones-2026,stand-bitafly,,"https://bitafly.com?utm_source=qr&utm_medium=event&utm_campaign=expodrones-2026&utm_content=stand-bitafly",QR — Evento / ExpoDrones,QR en stand de feria o evento
https://bitafly.com,aerocivil-blog,referral,contenido-organico,enlace-blog,,"https://bitafly.com?utm_source=aerocivil-blog&utm_medium=referral&utm_campaign=contenido-organico&utm_content=enlace-blog",Referido — Blog/Portal externo,Menciones en portales de aviación
https://bitafly.com/precios,google,cpc,precios-2026,anuncio-precios,,"https://bitafly.com/precios?utm_source=google&utm_medium=cpc&utm_campaign=precios-2026&utm_content=anuncio-precios",Google Ads → Precios,Anuncio que lleva directo a precios
